20220930	20:39:38	5659b499-9eb1-4565-808f-d4b7023c4acc	/new-page.html	undefined
20220930	20:39:38	436dd833-95e6-4b7c-81fe-1174835bf2df	/img/img1.png	undefined
20220930	20:41:09	dc640d62-a61e-4def-866b-35c760748803	/new-page.html	GET
20220930	20:41:09	0a3474e4-6563-4bac-91e1-68a7e3acf8c3	/img/img1.png	GET
20220930	20:41:32	530e7fb7-0401-4a02-a6b9-cf3047f3a92b	/new-page.html	GET
20220930	20:42:21	ca2a073b-440b-43bd-b897-757333c0eaac	/new-page.html	GET
20220930	20:42:21	24cbc6e4-339f-413e-a909-6aeb0d441793	/img/img1.png	GET
20220930	20:42:30	459c2594-b3fe-4e62-b104-0d5d518dfed4	/	GET
20221003	09:29:45	cc1cacd1-3b48-4f07-b24e-7a83e5fe6ab7	/	GET
20221003	09:29:45	e7975923-3bc5-42a9-8a7f-af6759560a8f	/favicon.ico	GET
20221003	09:30:09	ae010cb7-9224-482a-bc9b-c75764b284e5	/data/data.json	GET
20221009	11:53:27	3c742198-d099-4631-ab02-0fa7b7c6d783	GET	undefined	/
20221009	11:53:27	60d75946-7822-4aac-8816-03eb03234c9f	GET	undefined	/css/style.css
20221009	11:57:31	292333e2-6f5b-4a01-ac4c-553009cae951	GET	undefined	/
20221009	11:57:31	c5b127bf-7593-45ab-9864-6a04ef688462	GET	undefined	/css/style.css
20221009	11:58:57	c3e79cea-ec95-4f38-a5b6-ef12dd7ab721	OPTIONS	https://www.google.com	/
20221009	11:58:57	7519cec3-d853-4075-8b72-5bf1f22dd1a3	GET	https://www.google.com	/
20221009	12:05:20	78b2e3e8-33bf-4874-a0d7-9909ff7df004	OPTIONS	https://www.google.com	/
20221009	12:05:20	6476e596-2456-4742-9083-a5b110fa7207	GET	https://www.google.com	/
20221009	12:25:41	dd5a9293-c127-4072-9f5d-1fdac4aa46fa	OPTIONS	https://www.google.com	/
20221009	12:25:42	1dbb79ca-5a34-4f3e-9552-090070310079	GET	https://www.google.com	/
20221009	12:26:03	92faf93d-1d67-4fd6-8b2c-8736357f79ac	OPTIONS	https://www.google.com	/
20221009	12:26:03	c80d85ee-c93c-438c-8e8b-27096450dcb6	GET	https://www.google.com	/
20221009	12:28:13	faa8693d-e83d-4f27-af96-867f28f146a8	OPTIONS	https://www.google.com	/
20221009	12:28:13	013c25af-7301-4c14-9b34-3b545e80dde7	GET	https://www.google.com	/
20221009	12:33:12	abeea3dd-3b9e-4280-b852-ed04a11ef1b5	GET	undefined	/
20221009	12:38:36	4bff9fc1-898a-49af-b83b-32d371a83778	GET	undefined	/
20221009	12:38:36	060ea307-b646-41ca-8dde-141f7663b903	GET	undefined	/css/style.css
20221009	12:49:27	3cc5799d-6265-4ab1-bd53-14b2e3c4f812	GET	undefined	/
20221009	12:49:40	ea21f9c4-217a-4cfb-8a4f-c8c62bb09002	GET	undefined	/
20221009	12:50:20	6e460367-ef1e-4497-a3af-82de8c4062a9	GET	undefined	/
20221009	12:54:24	2d9433a1-e995-41cc-8a6e-864cfaeeaec3	GET	undefined	/
20221009	12:54:24	9fbcb165-5b2b-4c69-8325-912e180ff787	GET	undefined	/css/style.css
20221009	13:00:45	5ac6d342-960c-4d9b-a176-d95d8fa95f87	GET	undefined	/dave
20221009	13:00:45	daf4a2af-ebce-41a1-874e-2e5969221ca9	GET	undefined	/css/style.css
20221009	13:09:36	a70b5902-7430-4d42-9f03-536b66dde490	GET	undefined	/dave
20221009	13:09:36	c68073fb-2740-4178-9335-fab8e15a860d	GET	undefined	/css/style.css
20221009	13:09:38	8febbe4f-9795-494c-b0ea-129dd6745681	GET	undefined	/dave
20221009	13:09:38	e62ca974-dc6b-43f4-bb2b-6e0daf48cfad	GET	undefined	/css/style.css
20221009	13:09:39	32b938a4-da54-42c7-b82e-cd16ae54f7d5	GET	undefined	/dave
20221009	13:09:39	ea783f2e-edb8-4f90-8036-732c59c2830e	GET	undefined	/css/style.css
20221010	15:32:41	2a26f871-83ed-4ab5-85ec-399777edc0fe	GET	undefined	/
20221010	15:32:41	24784960-b6fa-49d9-98b2-759e5cc329e7	GET	undefined	/favicon.ico
20221010	15:34:22	d68f94cc-a188-4ccb-a27c-718e15f45677	GET	undefined	/
20221010	15:34:22	320145fc-5646-4171-9240-26a042efc4f4	GET	undefined	/css/style.css
20221010	15:34:22	87a9ca99-7835-4037-af3c-5c6ad45888c9	GET	undefined	/favicon.ico
20221010	15:35:06	91f2a501-d77a-4fca-9ec1-f99e4bcad813	GET	undefined	/
20221010	15:35:06	17e3b134-89b2-4cee-bbae-5087eaca09d5	GET	undefined	/css/style.css
20221010	15:35:21	0aa95c5a-b0f1-4e40-8b57-5ce9caf52b71	GET	undefined	/subdir/index
20221010	15:35:56	b06c621c-0820-4a8c-9d03-b9151b9e254f	GET	undefined	/subdir/index
20221010	15:35:57	d05da287-aceb-43e9-b9f0-a374fcee6e81	GET	undefined	/subdir/index
20221010	15:36:00	7c51bb11-e896-490d-b80b-dee788610c24	GET	undefined	/subdir/index
20221010	15:36:13	7aef77b7-25dc-4e82-9714-c1b9a60a1fe5	GET	undefined	/subdir/
20221010	15:36:16	1de491df-ab4f-431b-9cf9-59e163151aaa	GET	undefined	/subdir/
20221010	15:36:23	dcd9f3c0-fc9e-4450-93b6-c3f9859233a1	GET	undefined	/subdir/
20221010	15:37:23	e6f548c7-4191-4018-8d5e-e89ba687102c	GET	undefined	/subdir/
20221010	15:37:52	196493c9-fa85-40ce-b879-a2ae34f82f5f	GET	undefined	/subdir/
20221010	15:37:55	558065e4-ee45-4f0b-ab1e-f00f25046658	GET	undefined	/subdir/
